Sport,Year,Height
Sailing,1988,69.41247728649303
Sailing,1992,70.75147160003063
Sailing,1996,70.52084677939855
Sailing,2000,70.634553033812
Sailing,2004,71.4178584819755
Sailing,2008,71.51059242594677
Sailing,2012,71.93834813201536
Sailing,2016,71.49887514060745
Shooting,1960,68.53045571376111
Shooting,1964,68.38955096829103
Shooting,1984,68.76683167047109
Shooting,1988,69.56421395601399
Shooting,1992,69.49146981627294
Shooting,1996,69.83767737588951
Shooting,2000,69.98189397448313
Shooting,2004,69.94275437018837
Shooting,2008,70.03718285214345
Shooting,2012,69.8566833109275
Shooting,2016,70.02764035026587
Swimming,1960,70.44094488188972
Swimming,1964,70.58992341219313
Swimming,1968,70.80933065185008
Swimming,1972,71.38056949829891
Swimming,1976,71.6656200183566
Swimming,1980,72.02112176736198
Swimming,1984,72.08874228559242
Swimming,1988,72.49653108648022
Swimming,1992,73.20620826651957
Swimming,1996,73.69445898088077
Swimming,2000,73.47836675054772
Swimming,2004,73.4088486379474
Swimming,2008,73.50825332879899
Swimming,2012,73.63565923940342
Swimming,2016,73.75761638435584
Water Polo,1960,71.66770520591402
Water Polo,1964,71.63095391764556
Water Polo,1968,71.90142898804315
Water Polo,1972,71.9823729420186
Water Polo,1976,72.73847448458257
Water Polo,1980,73.1532127186392
Water Polo,1984,73.32875336891614
Water Polo,1988,73.4367762853173
Water Polo,1992,74.1616888406191
Water Polo,1996,74.8164953957027
Water Polo,2000,74.82630847614635
Water Polo,2004,75.07158196134576
Water Polo,2008,75.3255107817405
Water Polo,2012,75.89027178054357
Water Polo,2016,75.34001431639224
Weightlifting,1960,66.14419291338581
Weightlifting,1964,66.34690029943445
Weightlifting,1968,66.24956116154272
Weightlifting,1972,65.94172386205734
Weightlifting,1976,65.69507758898561
Weightlifting,1980,66.25677472134167
Weightlifting,1984,66.16372674086135
Weightlifting,1988,66.69030115311409
Weightlifting,1992,67.39103478206961
Weightlifting,1996,66.84624948197269
Weightlifting,2000,66.9646939293879
Weightlifting,2004,67.2523573442209
Weightlifting,2008,66.62704897736842
Weightlifting,2012,67.29873051582844
Weightlifting,2016,67.26326150020722
Wrestling,1960,67.35785710835218
Wrestling,1964,67.68531088786308
Wrestling,1968,67.6986399427344
Wrestling,1972,67.34242174952008
Wrestling,1976,67.58530183727028
Wrestling,1980,67.87526065170707
Wrestling,1984,67.83042744656912
Wrestling,1988,67.79473627440399
Wrestling,1992,68.04226833209363
Wrestling,1996,68.26402559055113
Wrestling,2000,68.7202837664461
Wrestling,2004,68.81105068052054
Wrestling,2008,68.80667443645359
Wrestling,2012,68.96963755017
Wrestling,2016,69.29975099266439
