Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm),Mean height (inches),Mean height lower 95% uncertainty interval (inches),Mean height upper 95% uncertainty interval (inches),Olympic Year
Canada,CAN,Men,1941,174.551546,173.7687754,175.39140519999998,68.7210811023622,68.41290370078741,69.05173433070865,1960
Central African Republic,CAF,Men,1941,166.45125819999998,163.5442862,169.31320060000002,65.53199141732283,64.3875142519685,66.6587403937008,1960
Chad,TCD,Men,1941,170.0453091,167.2827146,172.8680841,66.94697208661417,65.85933645669292,68.05830082677166,1960
Chile,CHL,Men,1941,166.66101980000002,165.67992009999998,167.6009257,65.61457472440945,65.228315,65.98461641732284,1960
China,CHN,Men,1941,166.4768573,166.0485194,166.9067569,65.5420698031496,65.37343283464567,65.71132161417323,1960
China (Hong Kong SAR),HKG,Men,1941,164.7116004,163.2134379,166.1875861,64.84708677165355,64.25725901574803,65.428183503937,1960
Colombia,COL,Men,1941,164.83564850000002,163.8644956,165.80495919999998,64.89592460629922,64.5135809448819,65.27754299212597,1960
Comoros,COM,Men,1941,164.15803369999998,162.20810590000002,166.1049404,64.62914712598425,63.86145901574804,65.39564582677166,1960
Congo,COG,Men,1941,167.5831489,165.84983280000003,169.3835351,65.97761767716536,65.29520976377954,66.68643114173229,1960
Cook Islands,COK,Men,1941,172.2561491,170.486675,174.08192250000002,67.81738153543307,67.12073818897638,68.53618996062993,1960
Costa Rica,CRI,Men,1941,166.5290088,165.6717209,167.36740880000002,65.56260188976378,65.22508696850393,65.89268062992127,1960
Cote d'Ivoire,CIV,Men,1941,167.75789630000003,166.3799203,169.1661108,66.04641586614174,65.50390562992126,66.60083102362205,1960
Croatia,HRV,Men,1941,174.2413423,172.89180430000002,175.6153142,68.59895366141733,68.06763948818899,69.13988748031495,1960
Cuba,CUB,Men,1941,168.10921230000002,166.8118791,169.4309378,66.1847292519685,65.6739681496063,66.70509362204724,1960
Cyprus,CYP,Men,1941,168.7809116,164.8001163,172.7279329,66.44917779527559,64.8819355511811,68.00312318897639,1960
Czech Republic,CZE,Men,1941,174.3200616,173.604362,175.03723530000002,68.62994551181103,68.34817401574803,68.91229736220473,1960
