Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm),Olympic Year,Mean height (inches),Mean height lower 95% uncertainty interval (inches),Mean height upper 95% uncertainty interval (inches)
Belize,BLZ,Men,1940,165.7821816,163.7641504,167.840056,1960,65.26857543307086,64.47407496062992,66.07876220472441
Benin,BEN,Men,1940,168.0122372,166.4049727,169.6010388,1960,66.14655007874015,65.51376877952755,66.77206251968504
Bermuda,BMU,Men,1940,169.22033019999998,164.34726940000002,174.250437,1960,66.62217724409447,64.70364937007875,68.6025342519685
Bhutan,BTN,Men,1940,162.50039519999999,160.8817649,164.16046459999998,1960,63.97653354330708,63.33927751968504,64.63010417322833
Bolivia,BOL,Men,1940,162.56658230000002,158.6663337,166.53305559999998,1960,64.00259145669293,62.46706051181102,65.56419511811023
Bosnia and Herzegovina,BIH,Men,1940,175.2234833,173.6122565,176.78168369999997,1960,68.98562334645669,68.35128208661418,69.59908807086613
Botswana,BWA,Men,1940,169.8968521,168.2227217,171.58160769999998,1960,66.8885244488189,66.22941799212597,67.5518140551181
Brazil,BRA,Men,1940,167.85814530000002,167.1509719,168.56015459999998,1960,66.08588397637796,65.8074692519685,66.36226559055117
Brunei Darussalam,BRN,Men,1940,160.92524540000002,155.9897219,165.94101909999998,1960,63.35639582677166,61.413276338582676,65.33110988188976
Bulgaria,BGR,Men,1940,172.6817373,167.72051090000002,177.6399376,1960,67.9849359448819,66.03169720472442,69.9369833070866
Burkina Faso,BFA,Men,1940,168.18009540000003,166.1102794,170.2260489,1960,66.21263598425197,65.39774779527559,67.01812948818898
Burundi,BDI,Men,1940,166.6453878,161.66348680000002,171.5768295,1960,65.6084203937008,63.6470420472441,67.54993287401575
Cabo Verde,CPV,Men,1940,169.3016926,167.5182129,171.14906440000001,1960,66.65420968503936,65.95205232283465,67.38152141732284
Cambodia,KHM,Men,1940,160.06106409999998,158.2020886,161.9197887,1960,63.01616696850393,62.2842868503937,63.74794830708661
Cameroon,CMR,Men,1940,168.7177253,167.25165149999998,170.14558269999998,1960,66.4243012992126,65.84710688976377,66.98644988188975
Canada,CAN,Men,1940,174.47494640000002,173.67884880000003,175.3170692,1960,68.69092377952757,68.37749952755907,69.02246818897638
Central African Republic,CAF,Men,1940,166.303978,163.4105885,169.1832223,1960,65.47400708661418,64.33487736220472,66.60756783464568
Chad,TCD,Men,1940,169.8965908,167.0997418,172.7231518,1960,66.88842157480316,65.78729992125984,68.00124086614174
Chile,CHL,Men,1940,166.5215603,165.5321892,167.4566726,1960,65.55966940944882,65.17015322834646,65.92782385826771
China,CHN,Men,1940,166.3950479,165.96176719999997,166.82878090000003,1960,65.50986137795276,65.33927842519684,65.68062240157481
China (Hong Kong SAR),HKG,Men,1940,164.5658198,163.0653163,166.038366,1960,64.78969283464568,64.19894342519686,65.36943543307086
Colombia,COL,Men,1940,164.6970521,163.7008497,165.69398950000001,1960,64.8413590944882,64.44915342519684,65.23385413385827
Comoros,COM,Men,1940,164.0446395,162.0653416,166.01320900000002,1960,64.58450374015747,63.8052525984252,65.35953110236221
Congo,COG,Men,1940,167.4116584,165.665717,169.2136216,1960,65.91010173228347,65.22272322834645,66.61953606299213
Cook Islands,COK,Men,1940,172.17052980000003,170.3718112,174.02165380000002,1960,67.78367314960632,67.07551622047244,68.51246212598426
Costa Rica,CRI,Men,1940,166.4034584,165.54581399999998,167.2509326,1960,65.5131725984252,65.17551732283464,65.84682385826771
Cote d'Ivoire,CIV,Men,1940,167.626082,166.2270852,169.0493976,1960,65.99452047244094,65.44373433070866,66.55488094488189
Croatia,HRV,Men,1940,174.0922675,172.72514990000002,175.48677030000002,1960,68.54026279527558,68.00202751968504,69.0892796456693
Cuba,CUB,Men,1940,167.9744122,166.6787698,169.2954319,1960,66.13165834645669,65.62156291338583,66.65174484251969
Cyprus,CYP,Men,1940,168.62739319999997,164.65167590000001,172.5867091,1960,66.38873748031494,64.8234944488189,67.94752326771653
